resume_id,resume_text,resume_skills_norm,resume_titles_norm,resume_years_experience
0_d733c2,"data engineer, cloud platforms engineer. data engineer with 6.42 years of experience building scalable systems. worked on secure platforms. strong background in vue, tensorflow, gcp, linux, swift. delivered high-impact solutions using modern engineering practices. technical skills: vue, tensorflow, gcp, linux, swift, azure, typescript, scikit-learn, microservices, rust, kubernetes, spring. education: bachelor of science in computer science, department of mathematics. expertise includes: front-end and back-end integration, machine learning model training, restful api development, microservices.","['vue', 'tensorflow', 'gcp', 'linux', 'swift', 'azure', 'typescript', 'scikit-learn', 'microservices', 'rust', 'kubernetes', 'spring']","['data engineer', 'cloud platforms engineer']",6.42
1_b19e40,"cloud engineer, gaming engineer. cloud engineer with 11.27 years of experience building scalable systems. worked on ml pipelines. strong background in scikit-learn, kotlin, azure, angular, tensorflow. delivered high-impact solutions using modern engineering practices. technical skills: scikit-learn, kotlin, azure, angular, tensorflow, pandas, rust, react, django, c#, redis, spring. education: bachelor of science in computer science, department of mathematics. expertise includes: front-end and back-end integration, machine learning model training, continuous integration deployment (ci/cd).","['scikit-learn', 'kotlin', 'azure', 'angular', 'tensorflow', 'pandas', 'rust', 'react', 'django', 'c#', 'redis', 'spring']","['cloud engineer', 'gaming engineer']",11.27
2_309222,"mobile app developer, gaming developer. mobile app developer with 5.54 years of experience building scalable systems. worked on secure platforms. strong background in kafka, pandas, scikit-learn, c#, redis. delivered high-impact solutions using modern engineering practices. technical skills: kafka, pandas, scikit-learn, c#, redis, node.js, python, java, ci/cd. education: bachelor of engineering, information systems. expertise includes: agile methodologies, scrum, machine learning model training, developed algorithm optimization.","['kafka', 'pandas', 'scikit-learn', 'c#', 'redis', 'node.js', 'python', 'java', 'ci/cd']","['mobile app developer', 'gaming developer']",5.54
3_6b501b,"game developer, fintech developer. game developer with 9.37 years of experience building scalable systems. worked on cloud-native apps. strong background in typescript, spring, javascript, pandas, flask. delivered high-impact solutions using modern engineering practices. technical skills: typescript, spring, javascript, pandas, flask, c#, react, gcp, python, vue. education: m.sc computer science & engineering, big data analytics. expertise includes: machine learning model training, data pipeline orchestration, developed algorithm optimization.","['typescript', 'spring', 'javascript', 'pandas', 'flask', 'c#', 'react', 'gcp', 'python', 'vue']","['game developer', 'fintech developer']",9.37
4_e48b3e,"backend developer, fintech developer. backend developer with 1.86 years of experience building scalable systems. worked on distributed systems. strong background in git, java, swift, kotlin, scikit-learn. delivered high-impact solutions using modern engineering practices. technical skills: git, java, swift, kotlin, scikit-learn, rest apis, javascript, pandas, go, sql. education: m.sc computer science & engineering, big data analytics. expertise includes: machine learning model training, agile methodologies, scrum, managed database structures.","['git', 'java', 'swift', 'kotlin', 'scikit-learn', 'rest apis', 'javascript', 'pandas', 'go', 'sql']","['backend developer', 'fintech developer']",1.86
5_24def0,"embedded systems engineer, healthtech engineer. embedded systems engineer with 3.82 years of experience building scalable systems. worked on ml pipelines. strong background in linux, rust, microservices, flask, kubernetes. delivered high-impact solutions using modern engineering practices. technical skills: linux, rust, microservices, flask, kubernetes, kotlin. education: b.s. information technology, software engineering. expertise includes: data pipeline orchestration, agile methodologies, scrum, managed database structures.","['linux', 'rust', 'microservices', 'flask', 'kubernetes', 'kotlin']","['embedded systems engineer', 'healthtech engineer']",3.82
6_716e4c,"embedded systems engineer, fintech engineer. embedded systems engineer with 6.56 years of experience building scalable systems. worked on ml pipelines. strong background in microservices, java, terraform, tensorflow, redis. delivered high-impact solutions using modern engineering practices. technical skills: microservices, java, terraform, tensorflow, redis, sql, angular, flask. education: b.s. information technology, software engineering. expertise includes: developed algorithm optimization, data pipeline orchestration, agile methodologies, scrum.","['microservices', 'java', 'terraform', 'tensorflow', 'redis', 'sql', 'angular', 'flask']","['embedded systems engineer', 'fintech engineer']",6.56
7_e02440,"frontend developer, gaming developer. frontend developer with 6.66 years of experience building scalable systems. worked on ml pipelines. strong background in django, gcp, ci/cd, pytorch, rest apis. delivered high-impact solutions using modern engineering practices. technical skills: django, gcp, ci/cd, pytorch, rest apis, scikit-learn, node.js, pandas, react, mongodb. education: master of science, artificial intelligence and data science. expertise includes: developed algorithm optimization, restful api development, microservices, agile methodologies, scrum.","['django', 'gcp', 'ci/cd', 'pytorch', 'rest apis', 'scikit-learn', 'node.js', 'pandas', 'react', 'mongodb']","['frontend developer', 'gaming developer']",6.66
8_94ae11,"full stack developer, cloud platforms developer. full stack developer with 7.05 years of experience building scalable systems. worked on cloud-native apps. strong background in c++, scikit-learn, ci/cd, django, graphql. delivered high-impact solutions using modern engineering practices. technical skills: c++, scikit-learn, ci/cd, django, graphql, vue, rest apis. education: bachelor of science in computer science, department of mathematics. expertise includes: managed database structures, developed algorithm optimization, restful api development, microservices.","['c++', 'scikit-learn', 'ci/cd', 'django', 'graphql', 'vue', 'rest apis']","['full stack developer', 'cloud platforms developer']",7.05
9_6d031b,"full stack developer, healthtech developer. full stack developer with 9.89 years of experience building scalable systems. worked on cloud-native apps. strong background in python, node.js, react, ci/cd, microservices. delivered high-impact solutions using modern engineering practices. technical skills: python, node.js, react, ci/cd, microservices, angular, pytorch, django, kafka, go. education: m.sc computer science & engineering, big data analytics. expertise includes: machine learning model training, data pipeline orchestration, agile methodologies, scrum.","['python', 'node.js', 'react', 'ci/cd', 'microservices', 'angular', 'pytorch', 'django', 'kafka', 'go']","['full stack developer', 'healthtech developer']",9.89
